year,period_type,decimal_latitude,decimal_longitude,species,state_province,country_code,time_period,month,avg_temp_c,land_area,density_per,observations,cluster,cluster_name
1980,2,41,-73,Cygnus olor,New York,US,1_1980-1988,7,20.333334,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,Connecticut,US,1_1980-1988,6,17.444445,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,Connecticut,US,1_1980-1988,8,22.0,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,New York,US,1_1980-1988,6,15.722222,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,New York,US,1_1980-1988,7,20.333334,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,New York,US,1_1980-1988,8,20.666666,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,Rhode Island,US,1_1980-1988,6,17.333334,2678.0,409.0,2,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,Rhode Island,US,1_1980-1988,7,22.333334,2678.0,409.0,2,3,Северо-восток США и восток Канады
1980,2,41,-72,Cygnus olor,Rhode Island,US,1_1980-1988,8,22.0,2678.0,409.0,1,3,Северо-восток США и восток Канады
1980,2,41,-70,Cygnus olor,Massachusetts,US,1_1980-1988,6,16.777779,20202.0,347.0,1,3,Северо-восток США и восток Канады
1980,2,41,-70,Cygnus olor,Massachusetts,US,1_1980-1988,7,21.777779,20202.0,347.0,1,3,Северо-восток США и восток Канады
1980,2,42,-122,Cygnus columbianus,California,US,1_1980-1988,6,18.61111,403466.0,97.0,1,4,Запад США и Канады
1980,2,42,-88,Cygnus olor,Illinois,US,1_1980-1988,7,26.0,143793.0,87.0,1,3,Северо-восток США и восток Канады
1980,2,42,-88,Cygnus olor,Illinois,US,1_1980-1988,8,25.11111,143793.0,87.0,2,3,Северо-восток США и восток Канады
1980,2,42,-80,Cygnus olor,Pennsylvania,US,1_1980-1988,8,22.11111,115883.0,112.0,2,3,Северо-восток США и восток Канады
1980,2,42,-71,Cygnus olor,Rhode Island,US,1_1980-1988,6,17.333334,2678.0,409.0,3,3,Северо-восток США и восток Канады
1980,2,42,-71,Cygnus olor,Rhode Island,US,1_1980-1988,7,22.333334,2678.0,409.0,1,3,Северо-восток США и восток Канады
1980,2,42,-71,Cygnus olor,Rhode Island,US,1_1980-1988,8,22.0,2678.0,409.0,3,3,Северо-восток США и восток Канады
