LocationID,GridCellID,Latitude,Longitude,StateProvince,Country,DensityPer,LandArea
31_-95_Texas,31_-95,31,-95,Texas,US,45.0,676587.0
34_-113_Arizona,34_-113,34,-113,Arizona,US,25.0,294207.0
42_-103_Nebraska,42_-103,42,-103,Nebraska,US,10.0,198974.0
43_-93_Minnesota,43_-93,43,-93,Minnesota,US,28.0,206232.0
43_-70_Maine,43_-70,43,-70,Maine,US,17.0,79883.0
46_-88_Michigan,46_-88,46,-88,Michigan,US,69.0,146435.0
48_-102_North Dakota,48_-102,48,-102,North Dakota,US,4.4,178711.0
49_-101_North Dakota,49_-101,49,-101,North Dakota,US,4.4,178711.0
49_-98_North Dakota,49_-98,49,-98,North Dakota,US,4.4,178711.0
49_-71_Quebec,49_-71,49,-71,Quebec,CA,6.5,1542057.0
50_-127_British Columbia,50_-127,50,-127,British Columbia,CA,5.4,944735.0
50_-115_British Columbia,50_-115,50,-115,British Columbia,CA,5.4,944735.0
50_-103_Saskatchewan,50_-103,50,-103,Saskatchewan,CA,2.0,588243.56
50_-90_Ontario,50_-90,50,-90,Ontario,CA,15.2,1076395.0
51_-99_Manitoba,51_-99,51,-99,Manitoba,CA,2.3,552371.0
51_-95_Ontario,51_-95,51,-95,Ontario,CA,15.2,1076395.0
52_-102_Manitoba,52_-102,52,-102,Manitoba,CA,2.3,552371.0
52_-102_Saskatchewan,52_-102,52,-102,Saskatchewan,CA,2.0,588243.56
53_-124_British Columbia,53_-124,53,-124,British Columbia,CA,5.4,944735.0
54_-112_Alberta,54_-112,54,-112,Alberta,CA,6.7,640330.44
55_-117_Alberta,55_-117,55,-117,Alberta,CA,6.7,640330.44
56_-115_Alberta,56_-115,56,-115,Alberta,CA,6.7,640330.44
57_-160_Alaska,57_-160,57,-160,Alaska,US,0.5,1477953.0
57_-112_Alberta,57_-112,57,-112,Alberta,CA,6.7,640330.44
57_-103_Saskatchewan,57_-103,57,-103,Saskatchewan,CA,2.0,588243.56
58_-154_Alaska,58_-154,58,-154,Alaska,US,0.5,1477953.0
59_-136_British Columbia,59_-136,59,-136,British Columbia,CA,5.4,944735.0
60_-144_Alaska,60_-144,60,-144,Alaska,US,0.5,1477953.0
60_-134_British Columbia,60_-134,60,-134,British Columbia,CA,5.4,944735.0
62_-156_Alaska,62_-156,62,-156,Alaska,US,0.5,1477953.0
62_-131_Yukon,62_-131,62,-131,Yukon,CA,0.08,474712.7
62_-105_Northwest Territories,62_-105,62,-105,Northwest Territories,CA,0.04,1143793.9
63_-105_Northwest Territories,63_-105,63,-105,Northwest Territories,CA,0.04,1143793.9
64_-158_Alaska,64_-158,64,-158,Alaska,US,0.5,1477953.0
64_-147_Alaska,64_-147,64,-147,Alaska,US,0.5,1477953.0
64_-113_Northwest Territories,64_-113,64,-113,Northwest Territories,CA,0.04,1143793.9
65_-155_Alaska,65_-155,65,-155,Alaska,US,0.5,1477953.0
66_-166_Alaska,66_-166,66,-166,Alaska,US,0.5,1477953.0
66_-162_Alaska,66_-162,66,-162,Alaska,US,0.5,1477953.0
66_-161_Alaska,66_-161,66,-161,Alaska,US,0.5,1477953.0
67_-153_Alaska,67_-153,67,-153,Alaska,US,0.5,1477953.0
67_-137_Yukon,67_-137,67,-137,Yukon,CA,0.08,474712.7
69_-160_Alaska,69_-160,69,-160,Alaska,US,0.5,1477953.0
69_-82_Nunavut,69_-82,69,-82,Nunavut,CA,0.02,1877778.5
70_-157_Alaska,70_-157,70,-157,Alaska,US,0.5,1477953.0
70_-141_Alaska,70_-141,70,-141,Alaska,US,0.5,1477953.0
30_-91_Louisiana,30_-91,30,-91,Louisiana,US,41.0,111898.0
31_-91_Louisiana,31_-91,31,-91,Louisiana,US,41.0,111898.0
32_-94_Texas,32_-94,32,-94,Texas,US,45.0,676587.0
33_-115_California,33_-115,33,-115,California,US,97.0,403466.0
33_-111_Arizona,33_-111,33,-111,Arizona,US,25.0,294207.0
34_-103_New Mexico,34_-103,34,-103,New Mexico,US,6.7,314161.0
35_-110_Arizona,35_-110,35,-110,Arizona,US,25.0,294207.0
37_-105_Colorado,37_-105,37,-105,Colorado,US,22.0,268431.0
37_-90_Illinois,37_-90,37,-90,Illinois,US,87.0,143793.0
38_-79_West Virginia,38_-79,38,-79,West Virginia,US,28.0,62259.0
40_-124_California,40_-124,40,-124,California,US,97.0,403466.0
41_-110_Wyoming,41_-110,41,-110,Wyoming,US,2.3,251470.0
41_-96_Missouri,41_-96,41,-96,Missouri,US,35.0,178040.0
41_-95_Missouri,41_-95,41,-95,Missouri,US,35.0,178040.0
47_-109_Montana,47_-109,47,-109,Montana,US,3.0,376962.0
49_-94_Minnesota,49_-94,49,-94,Minnesota,US,28.0,206232.0
53_-121_British Columbia,53_-121,53,-121,British Columbia,CA,5.4,944735.0
55_-164_Alaska,55_-164,55,-164,Alaska,US,0.5,1477953.0
28_-80_Florida,28_-80,28,-80,Florida,US,163.0,138887.0
46_-97_Minnesota,46_-97,46,-97,Minnesota,US,28.0,206232.0
47_-80_Ontario,47_-80,47,-80,Ontario,CA,15.2,1076395.0
48_-109_Montana,48_-109,48,-109,Montana,US,3.0,376962.0
48_-92_Ontario,48_-92,48,-92,Ontario,CA,15.2,1076395.0
49_-97_North Dakota,49_-97,49,-97,North Dakota,US,4.4,178711.0
49_-69_Quebec,49_-69,49,-69,Quebec,CA,6.5,1542057.0
51_-110_Saskatchewan,51_-110,51,-110,Saskatchewan,CA,2.0,588243.56
51_-81_Ontario,51_-81,51,-81,Ontario,CA,15.2,1076395.0
52_-118_British Columbia,52_-118,52,-118,British Columbia,CA,5.4,944735.0
52_-105_Saskatchewan,52_-105,52,-105,Saskatchewan,CA,2.0,588243.56
52_-99_Manitoba,52_-99,52,-99,Manitoba,CA,2.3,552371.0
52_-95_Ontario,52_-95,52,-95,Ontario,CA,15.2,1076395.0
53_-123_British Columbia,53_-123,53,-123,British Columbia,CA,5.4,944735.0
55_-162_Alaska,55_-162,55,-162,Alaska,US,0.5,1477953.0
55_-98_Manitoba,55_-98,55,-98,Manitoba,CA,2.3,552371.0
55_-86_Ontario,55_-86,55,-86,Ontario,CA,15.2,1076395.0
56_-98_Manitoba,56_-98,56,-98,Manitoba,CA,2.3,552371.0
57_-111_Alberta,57_-111,57,-111,Alberta,CA,6.7,640330.44
57_-89_Nunavut,57_-89,57,-89,Nunavut,CA,0.02,1877778.5
